Type of split	Corpus	Model	Convergence	Fractional polynomial variant	True positives (train)	True negatives (train)	False positives (train)	False negatives (train)	True positives (test)	True negatives (test)	False positives (test)	False negatives (test)	AIC
consecutive	synthetic	IV	yes	1	777607	261897	259643	853	324130	87834	88036	0	1138808
consecutive	synthetic	IV	yes	2	774740	265200	256340	3720	323866	87934	87936	264	1136138
consecutive	synthetic	IV	no	3									
consecutive	twitter	I	yes	0	32330	0	15670	0	7726	0	4274	0	60640
consecutive	twitter	I	yes	1	32330	0	15670	0	7726	0	4274	0	60640
consecutive	twitter	I	yes	2	32330	0	15670	0	7726	0	4274	0	60640
consecutive	twitter	I	yes	3	32330	0	15670	0	7726	0	4274	0	60640
consecutive	twitter	II	yes	0	32330	0	15670	0	7726	0	4274	0	60307
consecutive	twitter	II	yes	1	32330	0	15670	0	7726	0	4274	0	60305
consecutive	twitter	II	yes	2	32330	0	15670	0	7726	0	4274	0	60306
consecutive	twitter	II	no	3									
consecutive	twitter	III	yes	0	31329	1118	14552	1001	7721	1	4273	5	58495
consecutive	twitter	III	yes	1	31330	1123	14547	1000	7725	0	4274	1	58494
consecutive	twitter	III	yes	2	31329	1121	14549	1001	7725	0	4274	1	58496
consecutive	twitter	III	no	3									
consecutive	twitter	IV	yes	0	31306	1145	14525	1024	7696	38	4236	30	58502
consecutive	twitter	IV	yes	1	31308	1140	14530	1022	7702	34	4240	24	58501
consecutive	twitter	IV	yes	2	31302	1142	14528	1028	7661	77	4197	65	58514
consecutive	twitter	IV	no	3									
non_consecutive	all	I	yes	0	882731	0	558074	0	219859	0	139336	0	1923595
non_consecutive	all	I	yes	1	882731	0	558074	0	219859	0	139336	0	1923595
non_consecutive	all	I	yes	2	882731	0	558074	0	219859	0	139336	0	1923595
non_consecutive	all	I	yes	3	882731	0	558074	0	219859	0	139336	0	1923595
non_consecutive	all	II	yes	0	882731	0	558074	0	219859	0	139336	0	1906109
non_consecutive	all	II	yes	1	868963	22468	535606	13768	216352	5586	133750	3507	1902643
non_consecutive	all	II	yes	2	811503	88833	469241	71228	202166	22246	117090	17693	1894728
non_consecutive	all	II	yes	3	808826	91551	466523	73905	201469	22921	116415	18390	1894003
non_consecutive	all	III	yes	0	816049	83966	474108	66682	203064	20980	118356	16795	1876688
non_consecutive	all	III	yes	1	808470	95184	462890	74261	201231	23836	115500	18628	1873178
non_consecutive	all	III	yes	2	795300	114224	443850	87431	197959	28625	110711	21900	1865826
non_consecutive	all	III	yes	3	795169	114851	443223	87562	197941	28779	110557	21918	1865198
non_consecutive	all	IV	yes	0	814889	86241	471833	67842	202806	21480	117856	17053	1876064
non_consecutive	all	IV	yes	1	805971	99476	458598	76760	200654	24811	114525	19205	1872529
non_consecutive	all	IV	yes	2	791062	119008	439066	91669	196890	29785	109551	22969	1865151
non_consecutive	all	IV	no	3									
non_consecutive	bloggmix	I	yes	0	27133	0	20751	0	6837	0	5279	0	65530
non_consecutive	bloggmix	I	yes	1	27133	0	20751	0	6837	0	5279	0	65530
non_consecutive	bloggmix	I	yes	2	27133	0	20751	0	6837	0	5279	0	65530
non_consecutive	bloggmix	I	yes	3	27133	0	20751	0	6837	0	5279	0	65530
non_consecutive	bloggmix	II	yes	0	25056	1533	19218	2077	6280	395	4884	557	65153
non_consecutive	bloggmix	II	yes	1	24541	2443	18308	2592	6160	620	4659	677	65125
non_consecutive	bloggmix	II	yes	2	23418	3874	16877	3715	5900	1001	4278	937	65034
non_consecutive	bloggmix	II	yes	3	22480	5616	15135	4653	5682	1405	3874	1155	64731
non_consecutive	bloggmix	III	yes	0	21247	7720	13031	5886	5397	2026	3253	1440	62913
non_consecutive	bloggmix	III	yes	1	21281	7699	13052	5852	5390	2020	3259	1447	62890
non_consecutive	bloggmix	III	yes	2	21354	7691	13060	5779	5403	1996	3283	1434	62819
non_consecutive	bloggmix	III	yes	3	21006	8357	12394	6127	5323	2155	3124	1514	62538
non_consecutive	bloggmix	IV	yes	0	21622	7350	13401	5511	5478	1922	3357	1359	62888
non_consecutive	bloggmix	IV	yes	1	21655	7345	13406	5478	5487	1922	3357	1350	62863
non_consecutive	bloggmix	IV	yes	2	21765	7372	13379	5368	5495	1889	3390	1342	62773
non_consecutive	bloggmix	IV	no	3									
non_consecutive	da	I	yes	0	0	4764	0	2400	0	1246	0	590	9139
non_consecutive	da	I	yes	1	0	4764	0	2400	0	1246	0	590	9139
non_consecutive	da	I	yes	2	0	4764	0	2400	0	1246	0	590	9139
non_consecutive	da	I	yes	3	0	4764	0	2400	0	1246	0	590	9139
non_consecutive	da	II	yes	0	0	4764	0	2400	0	1246	0	590	9093
non_consecutive	da	II	yes	1	0	4764	0	2400	0	1246	0	590	9090
non_consecutive	da	II	yes	2	0	4764	0	2400	0	1246	0	590	9077
non_consecutive	da	II	no	3									
non_consecutive	da	III	yes	0	236	4542	222	2164	70	1188	58	520	8841
